#slot cellType shared channel neighbor
6 4 4 5
0 1 0 0 4
1 1 0 0 5
2 1 0 0 4
3 1 0 0 5
7 4 5 4
8 1 0 1 5
9 1 0 1 4
10 1 0 1 5
11 1 0 1 4
4 16 2 3
0 2 0 0 6
2 2 0 0 6
4 1 0 0 2
5 1 0 0 3
6 1 0 0 2
7 1 0 0 3
12 1 0 0 3
13 1 0 0 2
14 1 0 0 3
15 1 0 0 2
20 1 0 0 2
21 1 0 0 3
22 1 0 0 2
23 1 0 0 3
9 2 0 1 7
11 2 0 1 7
5 16 3 2
1 2 0 0 6
3 2 0 0 6
4 1 0 0 2
5 1 0 0 3
6 1 0 0 2
7 1 0 0 3
12 1 0 0 3
13 1 0 0 2
14 1 0 0 3
15 1 0 0 2
28 1 0 0 3
29 1 0 0 2
30 1 0 0 3
31 1 0 0 2
8 2 0 1 7
10 2 0 1 7
2 28 1
4 2 1 0 0
6 2 1 0 0
8 1 0 0 1
9 1 0 0 1
10 1 0 0 1
11 1 0 0 1
13 2 1 0 0
15 2 1 0 0
16 1 0 0 1
17 1 0 0 1
18 1 0 0 1
19 1 0 0 1
20 2 0 0 4
22 2 0 0 4
24 1 0 0 1
25 1 0 0 1
26 1 0 0 1
27 1 0 0 1
29 2 0 0 5
31 2 0 0 5
32 1 0 0 1
33 1 0 0 1
34 1 0 0 1
35 1 0 0 1
0 1 0 1 1
1 1 0 1 1
2 1 0 1 1
3 1 0 1 1
3 28 1
5 2 1 0 0
7 2 1 0 0
8 1 0 0 1
9 1 0 0 1
10 1 0 0 1
11 1 0 0 1
12 2 1 0 0
14 2 1 0 0
16 1 0 0 1
17 1 0 0 1
18 1 0 0 1
19 1 0 0 1
21 2 0 0 4
23 2 0 0 4
24 1 0 0 1
25 1 0 0 1
26 1 0 0 1
27 1 0 0 1
28 2 0 0 5
30 2 0 0 5
32 1 0 0 1
33 1 0 0 1
34 1 0 0 1
35 1 0 0 1
36 1 0 0 1
37 1 0 0 1
38 1 0 0 1
39 1 0 0 1
1 24
8 2 1 0 0
9 2 1 0 0
10 2 1 0 0
11 2 1 0 0
16 2 1 0 0
17 2 1 0 0
18 2 1 0 0
19 2 1 0 0
24 2 1 0 0
25 2 1 0 0
26 2 1 0 0
27 2 1 0 0
32 2 1 0 0
33 2 1 0 0
34 2 1 0 0
35 2 1 0 0
36 2 0 0 3
37 2 0 0 3
38 2 0 0 3
39 2 0 0 3
0 2 0 1 2
1 2 0 1 2
2 2 0 1 2
3 2 0 1 2
