#slot cellType shared channel neighbor
14 4 12 13
0 1 0 0 12
1 1 0 0 12
2 1 0 0 13
3 1 0 0 13
15 4 13 12
6 1 0 2 13
7 1 0 2 13
8 1 0 2 12
9 1 0 2 12
12 12 10 11
0 2 0 0 14
1 2 0 0 14
2 1 0 1 10
3 1 0 1 10
8 2 0 2 15
9 2 0 2 15
10 1 0 2 10
11 1 0 2 10
16 1 0 2 11
17 1 0 2 11
14 1 0 3 10
15 1 0 3 10
13 12 11 10
2 2 0 0 14
3 2 0 0 14
4 1 0 0 11
5 1 0 0 11
6 2 0 2 15
7 2 0 2 15
22 1 0 2 10
23 1 0 2 10
8 1 0 3 11
9 1 0 3 11
20 1 0 3 11
21 1 0 3 11
10 20 8 9
2 2 0 1 12
3 2 0 1 12
4 1 0 1 8
5 1 0 1 8
10 2 0 2 12
11 2 0 2 12
12 1 0 2 8
13 1 0 2 8
22 2 0 2 13
23 2 0 2 13
24 1 0 2 8
25 1 0 2 8
28 1 0 2 8
29 1 0 2 8
30 1 0 2 9
31 1 0 2 9
14 2 0 3 12
15 2 0 3 12
16 1 0 3 8
17 1 0 3 8
11 20 9 8
4 2 0 0 13
5 2 0 0 13
6 1 0 0 9
7 1 0 0 9
16 2 0 2 12
17 2 0 2 12
18 1 0 2 9
19 1 0 2 9
34 1 0 2 9
35 1 0 2 9
36 1 0 2 8
37 1 0 2 8
8 2 0 3 13
9 2 0 3 13
10 1 0 3 9
11 1 0 3 9
20 2 0 3 13
21 2 0 3 13
22 1 0 3 9
23 1 0 3 9
8 28 6 7
4 2 0 1 10
5 2 0 1 10
6 1 0 1 6
7 1 0 1 6
14 1 0 1 6
15 1 0 1 6
26 1 0 1 6
27 1 0 1 6
38 1 0 1 6
39 1 0 1 6
44 1 0 1 7
45 1 0 1 7
12 2 0 2 10
13 2 0 2 10
24 2 0 2 10
25 2 0 2 10
28 2 0 2 10
29 2 0 2 10
36 2 0 2 11
37 2 0 2 11
42 1 0 2 6
43 1 0 2 6
16 2 0 3 10
17 2 0 3 10
18 1 0 3 6
19 1 0 3 6
30 1 0 3 6
31 1 0 3 6
9 28 7 6
6 2 0 0 11
7 2 0 0 11
8 1 0 0 7
9 1 0 0 7
20 1 0 1 7
21 1 0 1 7
32 1 0 1 7
33 1 0 1 7
50 1 0 1 6
51 1 0 1 6
18 2 0 2 11
19 2 0 2 11
30 2 0 2 10
31 2 0 2 10
34 2 0 2 11
35 2 0 2 11
48 1 0 2 7
49 1 0 2 7
10 2 0 3 11
11 2 0 3 11
12 1 0 3 7
13 1 0 3 7
22 2 0 3 11
23 2 0 3 11
24 1 0 3 7
25 1 0 3 7
36 1 0 3 7
37 1 0 3 7
6 36 4 5
16 1 0 0 4
17 1 0 0 4
28 1 0 0 4
29 1 0 0 4
40 1 0 0 4
41 1 0 0 4
52 1 0 0 4
53 1 0 0 4
58 1 0 0 5
59 1 0 0 5
6 2 0 1 8
7 2 0 1 8
8 1 0 1 4
9 1 0 1 4
14 2 0 1 8
15 2 0 1 8
26 2 0 1 8
27 2 0 1 8
38 2 0 1 8
39 2 0 1 8
50 2 0 1 9
51 2 0 1 9
56 1 0 1 4
57 1 0 1 4
20 1 0 2 4
21 1 0 2 4
32 1 0 2 4
33 1 0 2 4
42 2 0 2 8
43 2 0 2 8
44 1 0 2 4
45 1 0 2 4
18 2 0 3 8
19 2 0 3 8
30 2 0 3 8
31 2 0 3 8
7 36 5 4
8 2 0 0 9
9 2 0 0 9
10 1 0 0 5
11 1 0 0 5
22 1 0 0 5
23 1 0 0 5
34 1 0 0 5
35 1 0 0 5
46 1 0 0 5
47 1 0 0 5
0 1 0 1 5
1 1 0 1 5
20 2 0 1 9
21 2 0 1 9
32 2 0 1 9
33 2 0 1 9
44 2 0 1 8
45 2 0 1 8
2 1 0 2 4
3 1 0 2 4
14 1 0 2 5
15 1 0 2 5
26 1 0 2 5
27 1 0 2 5
38 1 0 2 5
39 1 0 2 5
48 2 0 2 9
49 2 0 2 9
50 1 0 2 5
51 1 0 2 5
12 2 0 3 9
13 2 0 3 9
24 2 0 3 9
25 2 0 3 9
36 2 0 3 9
37 2 0 3 9
4 44 2 3
16 2 0 0 6
17 2 0 0 6
18 1 0 0 2
19 1 0 0 2
28 2 0 0 6
29 2 0 0 6
30 1 0 0 2
31 1 0 0 2
40 2 0 0 6
41 2 0 0 6
42 1 0 0 2
43 1 0 0 2
52 2 0 0 6
53 2 0 0 6
54 1 0 0 2
55 1 0 0 2
64 1 0 0 3
65 1 0 0 3
8 2 0 1 6
9 2 0 1 6
10 1 0 1 2
11 1 0 1 2
22 1 0 1 2
23 1 0 1 2
34 1 0 1 2
35 1 0 1 2
46 1 0 1 2
47 1 0 1 2
56 2 0 1 6
57 2 0 1 6
58 1 0 1 2
59 1 0 1 2
62 1 0 1 2
63 1 0 1 2
2 2 0 2 7
3 2 0 2 7
4 1 0 2 2
5 1 0 2 2
20 2 0 2 6
21 2 0 2 6
32 2 0 2 6
33 2 0 2 6
44 2 0 2 6
45 2 0 2 6
5 44 3 2
10 2 0 0 7
11 2 0 0 7
12 1 0 0 3
13 1 0 0 3
22 2 0 0 7
23 2 0 0 7
24 1 0 0 3
25 1 0 0 3
34 2 0 0 7
35 2 0 0 7
36 1 0 0 3
37 1 0 0 3
46 2 0 0 7
47 2 0 0 7
48 1 0 0 3
49 1 0 0 3
58 2 0 0 6
59 2 0 0 6
60 1 0 0 3
61 1 0 0 3
68 1 0 0 3
69 1 0 0 3
70 1 0 0 2
71 1 0 0 2
0 2 0 1 7
1 2 0 1 7
16 1 0 1 3
17 1 0 1 3
28 1 0 1 3
29 1 0 1 3
40 1 0 1 3
41 1 0 1 3
52 1 0 1 3
53 1 0 1 3
14 2 0 2 7
15 2 0 2 7
26 2 0 2 7
27 2 0 2 7
38 2 0 2 7
39 2 0 2 7
50 2 0 2 7
51 2 0 2 7
2 1 0 3 3
3 1 0 3 3
2 52 1
18 2 0 0 4
19 2 0 0 4
20 1 0 0 1
21 1 0 0 1
30 2 0 0 4
31 2 0 0 4
32 1 0 0 1
33 1 0 0 1
42 2 0 0 4
43 2 0 0 4
44 1 0 0 1
45 1 0 0 1
54 2 0 0 4
55 2 0 0 4
56 1 0 0 1
57 1 0 0 1
70 2 0 0 5
71 2 0 0 5
72 1 0 0 1
73 1 0 0 1
10 2 0 1 4
11 2 0 1 4
12 1 0 1 1
13 1 0 1 1
22 2 0 1 4
23 2 0 1 4
24 1 0 1 1
25 1 0 1 1
34 2 0 1 4
35 2 0 1 4
36 1 0 1 1
37 1 0 1 1
46 2 0 1 4
47 2 0 1 4
48 1 0 1 1
49 1 0 1 1
58 2 0 1 4
59 2 0 1 4
60 1 0 1 1
61 1 0 1 1
62 2 0 1 4
63 2 0 1 4
64 1 0 1 1
65 1 0 1 1
0 1 0 2 1
1 1 0 2 1
4 2 0 2 4
5 2 0 2 4
6 1 0 3 1
7 1 0 3 1
2 1 0 4 1
3 1 0 4 1
3 52 1
12 2 0 0 5
13 2 0 0 5
14 1 0 0 1
15 1 0 0 1
24 2 0 0 5
25 2 0 0 5
26 1 0 0 1
27 1 0 0 1
36 2 0 0 5
37 2 0 0 5
38 1 0 0 1
39 1 0 0 1
48 2 0 0 5
49 2 0 0 5
50 1 0 0 1
51 1 0 0 1
60 2 0 0 5
61 2 0 0 5
62 1 0 0 1
63 1 0 0 1
64 2 0 0 4
65 2 0 0 4
66 1 0 0 1
67 1 0 0 1
68 2 0 0 5
69 2 0 0 5
16 2 0 1 5
17 2 0 1 5
18 1 0 1 1
19 1 0 1 1
28 2 0 1 5
29 2 0 1 5
30 1 0 1 1
31 1 0 1 1
40 2 0 1 5
41 2 0 1 5
42 1 0 1 1
43 1 0 1 1
52 2 0 1 5
53 2 0 1 5
54 1 0 1 1
55 1 0 1 1
70 1 0 1 1
71 1 0 1 1
2 2 0 3 5
3 2 0 3 5
4 1 0 3 1
5 1 0 3 1
8 1 0 4 1
9 1 0 4 1
10 1 0 4 1
11 1 0 4 1
1 56
14 2 0 0 3
15 2 0 0 3
20 2 0 0 2
21 2 0 0 2
26 2 0 0 3
27 2 0 0 3
32 2 0 0 2
33 2 0 0 2
38 2 0 0 3
39 2 0 0 3
44 2 0 0 2
45 2 0 0 2
50 2 0 0 3
51 2 0 0 3
56 2 0 0 2
57 2 0 0 2
62 2 0 0 3
63 2 0 0 3
66 2 0 0 3
67 2 0 0 3
72 2 0 0 2
73 2 0 0 2
12 2 0 1 2
13 2 0 1 2
18 2 0 1 3
19 2 0 1 3
24 2 0 1 2
25 2 0 1 2
30 2 0 1 3
31 2 0 1 3
36 2 0 1 2
37 2 0 1 2
42 2 0 1 3
43 2 0 1 3
48 2 0 1 2
49 2 0 1 2
54 2 0 1 3
55 2 0 1 3
60 2 0 1 2
61 2 0 1 2
64 2 0 1 2
65 2 0 1 2
70 2 0 1 3
71 2 0 1 3
0 2 0 2 2
1 2 0 2 2
4 2 0 3 3
5 2 0 3 3
6 2 0 3 2
7 2 0 3 2
2 2 0 4 2
3 2 0 4 2
8 2 0 4 3
9 2 0 4 3
10 2 0 4 3
11 2 0 4 3
