#slot cellType shared channel neighbor
14 4 12
0 1 0 0 12
1 1 0 0 12
2 1 0 0 12
3 1 0 0 12
15 4 13
4 1 0 1 13
5 1 0 1 13
6 1 0 1 13
7 1 0 1 13
12 12 10
0 2 0 0 14
1 2 0 0 14
2 2 0 0 14
3 2 0 0 14
4 1 0 0 10
5 1 0 0 10
6 1 0 0 10
7 1 0 0 10
12 1 0 2 10
13 1 0 2 10
14 1 0 2 10
15 1 0 2 10
13 12 11
4 2 0 1 15
5 2 0 1 15
6 2 0 1 15
7 2 0 1 15
8 1 0 1 11
9 1 0 1 11
10 1 0 1 11
11 1 0 1 11
16 1 0 3 11
17 1 0 3 11
18 1 0 3 11
19 1 0 3 11
10 20 8
4 2 0 0 12
5 2 0 0 12
6 2 0 0 12
7 2 0 0 12
8 1 0 0 8
9 1 0 0 8
10 1 0 0 8
11 1 0 0 8
12 2 0 2 12
13 2 0 2 12
14 2 0 2 12
15 2 0 2 12
16 1 0 2 8
17 1 0 2 8
18 1 0 2 8
19 1 0 2 8
24 1 0 4 8
25 1 0 4 8
26 1 0 4 8
27 1 0 4 8
11 20 9
8 2 0 1 13
9 2 0 1 13
10 2 0 1 13
11 2 0 1 13
12 1 0 1 9
13 1 0 1 9
14 1 0 1 9
15 1 0 1 9
16 2 0 3 13
17 2 0 3 13
18 2 0 3 13
19 2 0 3 13
20 1 0 3 9
21 1 0 3 9
22 1 0 3 9
23 1 0 3 9
28 1 0 4 9
29 1 0 4 9
30 1 0 4 9
31 1 0 4 9
8 28 6
8 2 0 0 10
9 2 0 0 10
10 2 0 0 10
11 2 0 0 10
12 1 0 0 6
13 1 0 0 6
14 1 0 0 6
15 1 0 0 6
16 2 0 2 10
17 2 0 2 10
18 2 0 2 10
19 2 0 2 10
20 1 0 2 6
21 1 0 2 6
22 1 0 2 6
23 1 0 2 6
28 1 0 3 6
29 1 0 3 6
30 1 0 3 6
31 1 0 3 6
36 1 0 3 6
37 1 0 3 6
38 1 0 3 6
39 1 0 3 6
24 2 0 4 10
25 2 0 4 10
26 2 0 4 10
27 2 0 4 10
9 28 7
12 2 0 1 11
13 2 0 1 11
14 2 0 1 11
15 2 0 1 11
16 1 0 1 7
17 1 0 1 7
18 1 0 1 7
19 1 0 1 7
20 2 0 3 11
21 2 0 3 11
22 2 0 3 11
23 2 0 3 11
24 1 0 3 7
25 1 0 3 7
26 1 0 3 7
27 1 0 3 7
32 1 0 3 7
33 1 0 3 7
34 1 0 3 7
35 1 0 3 7
40 1 0 3 7
41 1 0 3 7
42 1 0 3 7
43 1 0 3 7
28 2 0 4 11
29 2 0 4 11
30 2 0 4 11
31 2 0 4 11
6 36 4
12 2 0 0 8
13 2 0 0 8
14 2 0 0 8
15 2 0 0 8
16 1 0 0 4
17 1 0 0 4
18 1 0 0 4
19 1 0 0 4
0 1 0 1 4
1 1 0 1 4
2 1 0 1 4
3 1 0 1 4
20 2 0 2 8
21 2 0 2 8
22 2 0 2 8
23 2 0 2 8
24 1 0 2 4
25 1 0 2 4
26 1 0 2 4
27 1 0 2 4
32 1 0 2 4
33 1 0 2 4
34 1 0 2 4
35 1 0 2 4
40 1 0 2 4
41 1 0 2 4
42 1 0 2 4
43 1 0 2 4
28 2 0 3 8
29 2 0 3 8
30 2 0 3 8
31 2 0 3 8
36 2 0 3 8
37 2 0 3 8
38 2 0 3 8
39 2 0 3 8
7 36 5
16 2 0 1 9
17 2 0 1 9
18 2 0 1 9
19 2 0 1 9
20 1 0 1 5
21 1 0 1 5
22 1 0 1 5
23 1 0 1 5
28 1 0 2 5
29 1 0 2 5
30 1 0 2 5
31 1 0 2 5
36 1 0 2 5
37 1 0 2 5
38 1 0 2 5
39 1 0 2 5
44 1 0 2 5
45 1 0 2 5
46 1 0 2 5
47 1 0 2 5
4 1 0 3 5
5 1 0 3 5
6 1 0 3 5
7 1 0 3 5
24 2 0 3 9
25 2 0 3 9
26 2 0 3 9
27 2 0 3 9
32 2 0 3 9
33 2 0 3 9
34 2 0 3 9
35 2 0 3 9
40 2 0 3 9
41 2 0 3 9
42 2 0 3 9
43 2 0 3 9
4 44 2
16 2 0 0 6
17 2 0 0 6
18 2 0 0 6
19 2 0 0 6
20 1 0 0 2
21 1 0 0 2
22 1 0 0 2
23 1 0 0 2
0 2 0 1 6
1 2 0 1 6
2 2 0 1 6
3 2 0 1 6
28 1 0 1 2
29 1 0 1 2
30 1 0 1 2
31 1 0 1 2
36 1 0 1 2
37 1 0 1 2
38 1 0 1 2
39 1 0 1 2
44 1 0 1 2
45 1 0 1 2
46 1 0 1 2
47 1 0 1 2
52 1 0 1 2
53 1 0 1 2
54 1 0 1 2
55 1 0 1 2
4 1 0 2 2
5 1 0 2 2
6 1 0 2 2
7 1 0 2 2
24 2 0 2 6
25 2 0 2 6
26 2 0 2 6
27 2 0 2 6
32 2 0 2 6
33 2 0 2 6
34 2 0 2 6
35 2 0 2 6
40 2 0 2 6
41 2 0 2 6
42 2 0 2 6
43 2 0 2 6
5 44 3
20 2 0 1 7
21 2 0 1 7
22 2 0 1 7
23 2 0 1 7
24 1 0 1 3
25 1 0 1 3
26 1 0 1 3
27 1 0 1 3
32 1 0 1 3
33 1 0 1 3
34 1 0 1 3
35 1 0 1 3
40 1 0 1 3
41 1 0 1 3
42 1 0 1 3
43 1 0 1 3
48 1 0 1 3
49 1 0 1 3
50 1 0 1 3
51 1 0 1 3
56 1 0 1 3
57 1 0 1 3
58 1 0 1 3
59 1 0 1 3
28 2 0 2 7
29 2 0 2 7
30 2 0 2 7
31 2 0 2 7
36 2 0 2 7
37 2 0 2 7
38 2 0 2 7
39 2 0 2 7
44 2 0 2 7
45 2 0 2 7
46 2 0 2 7
47 2 0 2 7
4 2 0 3 7
5 2 0 3 7
6 2 0 3 7
7 2 0 3 7
8 1 0 3 3
9 1 0 3 3
10 1 0 3 3
11 1 0 3 3
2 52 1
20 2 0 0 4
21 2 0 0 4
22 2 0 0 4
23 2 0 0 4
24 1 0 0 1
25 1 0 0 1
26 1 0 0 1
27 1 0 0 1
32 1 0 0 1
33 1 0 0 1
34 1 0 0 1
35 1 0 0 1
40 1 0 0 1
41 1 0 0 1
42 1 0 0 1
43 1 0 0 1
48 1 0 0 1
49 1 0 0 1
50 1 0 0 1
51 1 0 0 1
56 1 0 0 1
57 1 0 0 1
58 1 0 0 1
59 1 0 0 1
28 2 0 1 4
29 2 0 1 4
30 2 0 1 4
31 2 0 1 4
36 2 0 1 4
37 2 0 1 4
38 2 0 1 4
39 2 0 1 4
44 2 0 1 4
45 2 0 1 4
46 2 0 1 4
47 2 0 1 4
52 2 0 1 4
53 2 0 1 4
54 2 0 1 4
55 2 0 1 4
0 1 0 2 1
1 1 0 2 1
2 1 0 2 1
3 1 0 2 1
4 2 0 2 4
5 2 0 2 4
6 2 0 2 4
7 2 0 2 4
8 1 0 2 1
9 1 0 2 1
10 1 0 2 1
11 1 0 2 1
3 52 1
28 1 0 0 1
29 1 0 0 1
30 1 0 0 1
31 1 0 0 1
36 1 0 0 1
37 1 0 0 1
38 1 0 0 1
39 1 0 0 1
44 1 0 0 1
45 1 0 0 1
46 1 0 0 1
47 1 0 0 1
52 1 0 0 1
53 1 0 0 1
54 1 0 0 1
55 1 0 0 1
60 1 0 0 1
61 1 0 0 1
62 1 0 0 1
63 1 0 0 1
24 2 0 1 5
25 2 0 1 5
26 2 0 1 5
27 2 0 1 5
32 2 0 1 5
33 2 0 1 5
34 2 0 1 5
35 2 0 1 5
40 2 0 1 5
41 2 0 1 5
42 2 0 1 5
43 2 0 1 5
48 2 0 1 5
49 2 0 1 5
50 2 0 1 5
51 2 0 1 5
56 2 0 1 5
57 2 0 1 5
58 2 0 1 5
59 2 0 1 5
8 2 0 3 5
9 2 0 3 5
10 2 0 3 5
11 2 0 3 5
12 1 0 3 1
13 1 0 3 1
14 1 0 3 1
15 1 0 3 1
4 1 0 4 1
5 1 0 4 1
6 1 0 4 1
7 1 0 4 1
1 56
24 2 0 0 2
25 2 0 0 2
26 2 0 0 2
27 2 0 0 2
28 2 0 0 3
29 2 0 0 3
30 2 0 0 3
31 2 0 0 3
32 2 0 0 2
33 2 0 0 2
34 2 0 0 2
35 2 0 0 2
36 2 0 0 3
37 2 0 0 3
38 2 0 0 3
39 2 0 0 3
40 2 0 0 2
41 2 0 0 2
42 2 0 0 2
43 2 0 0 2
44 2 0 0 3
45 2 0 0 3
46 2 0 0 3
47 2 0 0 3
48 2 0 0 2
49 2 0 0 2
50 2 0 0 2
51 2 0 0 2
52 2 0 0 3
53 2 0 0 3
54 2 0 0 3
55 2 0 0 3
56 2 0 0 2
57 2 0 0 2
58 2 0 0 2
59 2 0 0 2
60 2 0 0 3
61 2 0 0 3
62 2 0 0 3
63 2 0 0 3
0 2 0 2 2
1 2 0 2 2
2 2 0 2 2
3 2 0 2 2
8 2 0 2 2
9 2 0 2 2
10 2 0 2 2
11 2 0 2 2
12 2 0 3 3
13 2 0 3 3
14 2 0 3 3
15 2 0 3 3
4 2 0 4 3
5 2 0 4 3
6 2 0 4 3
7 2 0 4 3
